date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:56	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2029%20May%202024%2016:03:56%20GMT	https://brixagency.com/*	/Users/iancid/desktop/datadriven/b/brixagency.com/_.0.delayed	(from )
10:03:57	72549/72549	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2016:03:57%20GMT	https://brixagency.com/about	/Users/iancid/desktop/datadriven/b/brixagency.com/about.html	(from )
10:03:58	86381/86381	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2016:03:58%20GMT	https://brixagency.com/portfolio	/Users/iancid/desktop/datadriven/b/brixagency.com/portfolio.html	(from )
10:03:59	44084/44084	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2016:03:59%20GMT	https://brixagency.com/services	/Users/iancid/desktop/datadriven/b/brixagency.com/services.html	(from )
10:04:01	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2029%20May%202024%2016:04:01%20GMT	https://brixagency.com/	/Users/iancid/desktop/datadriven/b/brixagency.com/index.html	(from )
10:04:01	48672/48672	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2016:04:01%20GMT	https://brixagency.com/contact	/Users/iancid/desktop/datadriven/b/brixagency.com/contact.html	(from )
10:04:03	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2029%20May%202024%2016:04:02%20GMT	https://brixagency.com/robots.txt		(from )
10:04:05	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2029%20May%202024%2016:04:05%20GMT	https://brixagency.com/	/Users/iancid/desktop/datadriven/b/brixagency.com/index.html	(from )
10:04:06	1903/1903	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224618a2ec74608f76212a1faf3723184a%22	https://assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8ca18cae25854fc8fd7fb_favicon-brix-agency.svg	/Users/iancid/desktop/datadriven/b/assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8ca18cae25854fc8fd7fb_favicon-brix-agency.svg	(from https://brixagency.com/about)
10:04:06	1881/1881	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2206dde1f1f4a5294eecb583dae05ff262%22	https://assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8ca18cae258378e8fd7fc_webclip-brix-agency.svg	/Users/iancid/desktop/datadriven/b/assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8ca18cae258378e8fd7fc_webclip-brix-agency.svg	(from https://brixagency.com/about)
10:04:07	2930/2930	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2293d9dc13d8d18f81543f2580d3cace58%22	https://assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f9185e1d9c52f7f30fe1a9_brix-agency-logo.svg	/Users/iancid/desktop/datadriven/b/assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f9185e1d9c52f7f30fe1a9_brix-agency-logo.svg	(from https://brixagency.com/about)
10:04:08	224/224	---M--	200	added ('OK')	image/svg+xml	etag:%22c6cb3a11398aa99d772e2fcf3e410a32%22	https://assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8f74c4961f261676b472b_dropdown-top-icon-brix-agency.svg	/Users/iancid/desktop/datadriven/b/assets-global.website-files.com/63f8ca18cae25871c18fd72d/63f8f74c4961f261676b472b_dropdown-top-icon-brix-agency.svg	(from https://brixagency.com/about)
